id,credit_card_number,credit_card_type
1,56022350839686487,
2,5153245377860247,mastercard
3,3546041997283790,jcb
4,5038964322005275,maestro
5,36250071572191,diners-club-international
6,374622897390497,americanexpress
7,3557344174678386,jcb
8,5602254410563503723,china-unionpay
9,4903672304209525314,switch
10,5602213227615365731,china-unionpay
11,3576455173759550,jcb
12,3564678087971144,jcb
13,3583112638818809,jcb
14,633110521711227041,switch
15,5263018407984494,mastercard
16,201492681325854,diners-club-enroute
17,50387572753585583,maestro
18,3529736993602262,jcb
19,5567756476215885,mastercard
20,30124412720601,diners-club-carte-blanche
21,6759763939579658387,maestro
22,30234988690169,diners-club-carte-blanche
23,3581540959351277,
24,5010124608018896,mastercard
25,4508407637878634,visa-electron
26,3576047484797138,jcb
27,3559016175356661,jcb
28,3540852934094553,jcb
29,3587054529636617,jcb
30,3563979409575113,jcb
31,3582166534037063,jcb
32,374288423608941,americanexpress
33,3528731824343476,jcb
34,5559407913123387,diners-club-us-ca
35,30065464815676,diners-club-carte-blanche
36,30537972765932,diners-club-carte-blanche
37,5007669169617861,mastercard
38,67628343023292340,maestro
39,3584913759762257,jcb
40,3569489880696200,jcb
41,3538432447149030,jcb
42,3559893526770208,jcb
43,5010128414406294,mastercard
44,3577714215509632,jcb
45,3587915664596230,
46,67097488807440516,laser
47,6331103676432773238,switch
48,4911719383188617,switch
49,5225635481899053,mastercard
50,30423454690106,diners-club-carte-blanche
51,5018391308322512,maestro
52,6331101151680114446,switch
53,491122904944394144,switch
54,6334709728460627,solo
55,3559682209786742,jcb
56,4508946022913183,visa-electron
57,30434171066850,diners-club-carte-blanche
58,3578562299259130,jcb
59,3544348105975296,jcb
60,374283370849465,americanexpress
61,6334678298997183403,solo
62,3533390361512580,jcb
63,3564103834429346,jcb
64,3544573695985278,jcb
65,675905785155131924,switch
66,5610451985654546,bankcard
67,5602225419220144,bankcard
68,3546665440639396,jcb
69,3569735729516946,jcb
70,3546957882316447,jcb
71,3568439035064318,jcb
72,372301538701220,
73,5602242994543899,bankcard
74,374283847733268,americanexpress
75,3578885717993893,jcb
76,3537380306420482,jcb
77,30218435743408,diners-club-carte-blanche
78,5048375059891266,mastercard
79,5610833769569273,bankcard
80,36649469787495,diners-club-international
81,3540224041246858,jcb
82,3531055384212318,jcb
83,3541329280628200,jcb
84,374622600382088,americanexpress
85,3542949296592105,jcb
86,589317039342770706,maestro
87,3556269713616061,jcb
88,4026245979045948,visa-electron
89,4913114614571161,visa-electron
90,3560012395814354,jcb
91,3550307266310124,jcb
92,4175006153644875,visa-electron
93,3538897774983245,
94,3549981994928102,jcb
95,5610702369058260,bankcard
96,5641828108105212,switch
97,3568295906616168,jcb
98,201706515525680,diners-club-enroute
99,5481530497104045,
100,3543408942305064,jcb
101,3582066344411310,jcb
102,30292277498116,diners-club-carte-blanche
103,3574888672006481,jcb
104,5602234117476156,bankcard
105,4315971753227879,visa
106,30297326189657,diners-club-carte-blanche
107,374288201303921,
108,3584577451148808,jcb
109,5328158098444151,mastercard
110,503871737238835694,maestro
111,3581410712139817,jcb
112,6706200223407404,laser
113,3560436784024574,jcb
114,490396827675926225,switch
115,30343570138535,
116,3564400908711314,jcb
117,6374489339962169,instapayment
118,4041592665043484,visa
119,201569572992684,diners-club-enroute
120,337941814882964,americanexpress
121,3550894856774595,jcb
122,3543742888826075,jcb
123,201933732696751,diners-club-enroute
124,4913248208265861,visa-electron
125,337941872868301,
126,67623314872226841,maestro
127,5010128463235610,mastercard
128,3539982057265699,jcb
129,3563812590586179,jcb
130,5108751502218967,mastercard
131,30409667369703,
132,6382049775226766,instapayment
133,5641827772137071,switch
134,3535233964335991,jcb
135,5002352198775464,mastercard
136,3531461171959279,jcb
137,3544908649326627,
138,5641821432723040,switch
139,30175565602111,diners-club-carte-blanche
140,30201270058850,diners-club-carte-blanche
141,3581545839951253,jcb
142,560225059724152135,china-unionpay
143,5602216643215000,bankcard
144,3585928642555584,jcb
145,5602257501273681,bankcard
146,5577195620511089,diners-club-us-ca
147,3535367000490582,jcb
148,5178759957115427,mastercard
149,3554516659007420,jcb
150,4026274480279390,visa-electron
151,3573959582063168,jcb
152,3534331542163751,jcb
153,5038886980389107,maestro
154,5002350272053337,
155,3538746095986512,jcb
156,201835464780994,diners-club-enroute
157,3556202132552898,jcb
158,3553159810631753,jcb
159,560221094556059904,china-unionpay
160,201604976693271,diners-club-enroute
161,3556303145675211,jcb
162,3541679417861714,jcb
163,3585828199884447,jcb
164,6334410363456385890,solo
165,490547803048607741,switch
166,6380720997341540,instapayment
167,3561917281693820,jcb
168,201432850252026,diners-club-enroute
169,3569065340540764,jcb
170,5002351937449795,mastercard
171,4844318974312785,visa-electron
172,67613586827562956,maestro
173,374283165412743,americanexpress
174,6377371994385505,instapayment
175,5610061018334097,china-unionpay
176,6771152210360676,laser
177,3579950774641246,jcb
178,5518309786408459,mastercard
179,5610574938025262047,china-unionpay
180,3564723104411060,jcb
181,3566385250374399,jcb
182,3528978460566213,
183,5641822394131503,switch
184,5100171857543588,mastercard
185,3581960545951812,
186,5602256487330655,
187,3571446624449433,jcb
188,5610777400882423,bankcard
189,6761178044081281946,maestro
190,3563611965710368,jcb
191,4911381509207191,switch
192,6334098022756749580,solo
193,3535861753571366,jcb
194,3566888652766682,jcb
195,3550315198638389,jcb
196,6763860247386882,maestro
197,5610644358145577,bankcard
198,30135579055607,diners-club-carte-blanche
199,5602235896985762,china-unionpay
200,3577928063657430,jcb
201,5591720633554875,diners-club-us-ca
202,4905754017512492,switch
203,0604959404200780140,maestro
204,3562928938859325,jcb
205,5602214169719778,bankcard
206,5610963095762308,bankcard
207,3581794647446425,jcb
208,3587903627051881,jcb
209,3532619915699530,jcb
210,3529419082360395,jcb
211,3577986971646432,jcb
212,3535071473366713,jcb
213,3582129197213991,jcb
214,5602234997504523,bankcard
215,5100172991705786,mastercard
216,67091640158046302,laser
217,3556522272839502,jcb
218,6304293821133916,laser
219,3586853184069001,jcb
220,30254735887637,diners-club-carte-blanche
221,4175001219121794,visa-electron
222,201920301913071,diners-club-enroute
223,30203054370279,diners-club-carte-blanche
224,3543272650554929,jcb
225,490397432830457502,switch
226,3563654670402616,jcb
227,374283941865321,americanexpress
228,67065941460918085,laser
229,6767002490283708,solo
230,3575126317151159,jcb
231,30432170061070,diners-club-carte-blanche
232,4017953841497186,visa
233,3569439468802530,jcb
234,3536195249542809,jcb
235,6767933021518123506,solo
236,3568523711776665,jcb
237,4041370141427401,visa
238,3548606477372749,jcb
239,3579206481207742,jcb
240,3579981576544809,jcb
241,3552549768867303,jcb
242,3532576714060316,jcb
243,56022286503573132,
244,3582941355281945,jcb
245,3542842096175637,jcb
